house_type,house_size,city,latitude,longitude,price,currency,numBathrooms,numBalconies,Status
1 RK Studio Apartment ,400 sq ft,Delhi,28.54556084,77.25434875,22000,INR,1.0,,Furnished
1 RK Studio Apartment ,400 sq ft,Delhi,28.64325905,77.13282776,20000,INR,1.0,,Furnished
2 BHK Independent Floor ,500 sq ft,Delhi,28.61867714,77.05335236,8500,INR,1.0,,Semi-Furnished
3 BHK Independent House ,"1,020 sq ft",Delhi,28.71289825,77.18000031,48000,INR,3.0,,Furnished
2 BHK Apartment ,810 sq ft,Delhi,28.72353935,77.13142395,20000,INR,2.0,,Unfurnished
3 BHK Apartment ,750 sq ft,Delhi,28.48815346,77.15697479,11000,INR,1.0,,Semi-Furnished
3 BHK Independent Floor ,"1,300 sq ft",Delhi,28.63550949,77.26966095,20000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,200 sq ft",Delhi,28.64163971,77.2840271,35000,INR,2.0,,Furnished
3 BHK Independent House ,"1,100 sq ft",Delhi,28.62119293,77.09102631,39000,INR,2.0,,Semi-Furnished
4 BHK Independent Floor ,"2,500 sq ft",Delhi,28.69610023,77.12569427,90000,INR,4.0,,Semi-Furnished
2 BHK Apartment ,"1,162 sq ft",Delhi,28.70855713,77.32802582,10000,INR,2.0,,Semi-Furnished
3 BHK Independent Floor ,900 sq ft,Delhi,28.60726929,77.08944702,20000,INR,2.0,,Semi-Furnished
2 BHK Independent Floor ,750 sq ft,Delhi,28.53482056,77.25739288,15000,INR,2.0,,Semi-Furnished
2 BHK Apartment ,"1,100 sq ft",Delhi,28.65725327,77.09198761,24000,INR,1.0,,Semi-Furnished
2 BHK Independent Floor ,"1,150 sq ft",Delhi,28.68910408,77.20041656,35000,INR,2.0,,Furnished
3 BHK Apartment ,"2,000 sq ft",Delhi,28.54009819,77.14507294,59000,INR,3.0,,Semi-Furnished
1 BHK Independent Floor ,"1,350 sq ft",Delhi,28.56477928,77.19426727,35000,INR,1.0,,Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Delhi,28.52409363,77.14785004,45000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,100 sq ft",Delhi,28.62412453,77.08145905,32500,INR,2.0,,Semi-Furnished
4 BHK Independent Floor ,"2,200 sq ft",Delhi,28.54715157,77.20805359,220000,INR,4.0,,Semi-Furnished
3 BHK Independent Floor ,"1,800 sq ft",Delhi,28.65497208,77.13210297,43000,INR,3.0,,Semi-Furnished
2 BHK Independent Floor ,900 sq ft,Delhi,28.64152908,77.12091064,30000,INR,2.0,,Furnished
3 BHK Independent Floor ,"1,350 sq ft",Delhi,28.70121956,77.15703583,68000,INR,2.0,,Furnished
